window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:08:15.000Z,2026-07-30T04:08:25.000Z,204,5,136.2,4
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,200,175,151.8,4
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,400,9,143.1,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,200,168,157.5,4
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,204,8,143.3,4
2026-07-30T04:08:15.000Z,2026-07-30T04:08:25.000Z,400,11,166.1,4
2026-07-30T04:08:15.000Z,2026-07-30T04:08:25.000Z,500,7,2211.1,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,400,9,243.6,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,404,5,152.8,4
2026-07-30T04:08:15.000Z,2026-07-30T04:08:25.000Z,404,5,171.0,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,500,8,1965.8,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,400,5,257.0,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,204,5,193.4,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,404,2,219.5,4
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,404,1,298.0,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,204,6,193.5,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,500,2,1298.5,4
2026-07-30T04:08:30.000Z,2026-07-30T04:08:40.000Z,404,1,232.0,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,503,1,2709.0,4
2026-07-30T04:08:20.000Z,2026-07-30T04:08:30.000Z,503,1,2709.0,4
2026-07-30T04:08:15.000Z,2026-07-30T04:08:25.000Z,200,170,155.2,4
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,500,4,2390.8,4
2026-07-30T04:08:25.000Z,2026-07-30T04:08:35.000Z,200,84,156.7,4
