window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,204,12,157.0,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,200,171,155.9,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,400,4,204.3,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,503,6,2049.3,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,204,12,152.8,3
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,200,89,151.3,3
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,500,6,2351.8,3
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,404,3,149.0,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,404,1,199.0,3
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,400,2,184.0,3
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,400,7,207.7,3
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,204,14,157.4,3
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,204,4,164.8,3
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,404,5,175.6,3
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,400,8,168.3,3
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,500,5,2029.6,3
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,200,166,159.3,3
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,200,164,158.9,3
2026-07-30T04:08:00.000Z,2026-07-30T04:08:10.000Z,503,5,1946.8,3
2026-07-30T04:08:05.000Z,2026-07-30T04:08:15.000Z,500,4,2045.8,3
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,500,3,2404.7,3
2026-07-30T04:08:10.000Z,2026-07-30T04:08:20.000Z,503,1,2562.0,3
