window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,404,6,205.8,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,200,83,161.7,10
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,200,161,166.0,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,200,168,157.6,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,500,6,1910.2,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,503,2,1986.0,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,500,8,1401.5,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,400,6,174.2,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,204,14,138.4,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,400,5,221.6,10
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,500,9,1481.9,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,404,7,186.0,10
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,204,15,155.0,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,200,161,159.0,10
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,400,4,148.8,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,503,3,2630.3,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,204,6,91.8,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,404,3,181.3,10
2026-07-30T04:09:45.000Z,2026-07-30T04:09:55.000Z,503,3,2653.0,10
2026-07-30T04:09:40.000Z,2026-07-30T04:09:50.000Z,204,10,145.1,10
2026-07-30T04:09:50.000Z,2026-07-30T04:10:00.000Z,404,6,211.0,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,500,3,1736.7,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,503,1,2082.0,10
2026-07-30T04:09:55.000Z,2026-07-30T04:10:05.000Z,400,3,231.3,10
