window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,200,170,155.9,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,500,2,2466.0,2
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,200,168,151.9,2
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,204,11,184.5,2
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,204,12,185.6,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,503,4,2403.8,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,204,14,160.7,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,204,10,149.3,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,404,3,210.0,2
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,500,5,1807.8,2
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,404,4,151.8,2
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,400,5,178.6,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,200,166,160.3,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,400,5,155.2,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,503,1,2226.0,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,400,3,113.7,2
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,500,4,2162.5,2
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,404,6,173.8,2
2026-07-30T04:07:40.000Z,2026-07-30T04:07:50.000Z,400,6,194.8,2
2026-07-30T04:07:45.000Z,2026-07-30T04:07:55.000Z,503,3,2463.0,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,404,4,171.5,2
2026-07-30T04:07:55.000Z,2026-07-30T04:08:05.000Z,200,80,160.0,2
2026-07-30T04:07:50.000Z,2026-07-30T04:08:00.000Z,500,5,2164.0,2
