window_start,window_end,response_code,request_count,avg_response_time_ms,batch_id
2026-07-30T03:38:15.000Z,2026-07-30T03:38:25.000Z,200,20,146.2,1
2026-07-30T03:38:15.000Z,2026-07-30T03:38:25.000Z,404,1,261.0,1
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,200,101,149.5,2
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,200,20,146.2,1
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,204,5,187.6,2
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,400,3,238.7,2
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,404,5,218.2,2
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,404,1,261.0,1
2026-07-30T03:38:20.000Z,2026-07-30T03:38:30.000Z,500,5,2318.0,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,200,81,150.3,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,200,168,156.3,3
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,204,9,198.9,3
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,204,5,187.6,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,400,3,238.7,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,400,5,246.2,3
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,404,4,207.5,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,404,8,203.8,3
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,500,5,2318.0,2
2026-07-30T03:38:25.000Z,2026-07-30T03:38:35.000Z,500,7,2135.3,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,200,87,161.9,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,200,169,155.3,4
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,204,4,213.0,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,204,5,207.2,4
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,400,2,257.5,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,400,4,176.0,4
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,404,4,200.0,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,404,11,189.3,4
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,500,2,1678.5,3
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,500,6,1481.2,4
2026-07-30T03:38:30.000Z,2026-07-30T03:38:40.000Z,503,3,1845.0,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,200,166,154.2,5
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,200,82,148.3,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,204,8,170.0,5
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,204,1,184.0,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,400,3,147.0,5
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,400,2,94.5,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,404,7,183.1,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,500,4,1382.5,4
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,500,10,1629.5,5
2026-07-30T03:38:35.000Z,2026-07-30T03:38:45.000Z,503,3,1845.0,4
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,200,173,159.7,6
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,200,84,159.9,5
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,204,9,148.2,6
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,204,7,168.0,5
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,400,8,140.4,6
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,400,1,252.0,5
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,500,7,1817.1,6
2026-07-30T03:38:40.000Z,2026-07-30T03:38:50.000Z,500,6,1794.2,5
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,200,89,159.4,6
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,200,167,157.2,7
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,204,2,79.0,6
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,204,10,101.0,7
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,400,7,124.4,6
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,400,11,133.6,7
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,404,1,20.0,7
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,500,1,1955.0,6
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,500,6,2231.8,7
2026-07-30T03:38:45.000Z,2026-07-30T03:38:55.000Z,503,3,2325.3,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,200,78,154.6,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,200,158,159.2,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,204,8,106.5,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,204,17,102.2,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,400,4,149.8,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,400,8,179.1,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,404,3,36.7,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,404,1,20.0,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,500,7,2220.1,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,500,5,2287.2,7
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,503,5,1875.2,8
2026-07-30T03:38:50.000Z,2026-07-30T03:39:00.000Z,503,3,2325.3,7
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,200,80,163.6,8
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,200,164,162.9,9
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,204,9,98.3,8
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,204,13,103.6,9
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,400,4,208.5,8
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,400,6,194.5,9
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,404,2,45.0,8
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,404,5,107.0,9
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,500,2,2052.5,8
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,500,7,2147.9,9
2026-07-30T03:38:55.000Z,2026-07-30T03:39:05.000Z,503,2,1200.0,8
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,200,166,165.3,10
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,200,84,162.3,9
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,204,8,113.8,10
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,204,4,115.5,9
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,400,2,166.5,9
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,400,4,187.8,10
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,404,3,148.3,9
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,404,4,177.5,10
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,500,5,2186.0,9
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,500,10,1982.6,10
2026-07-30T03:39:00.000Z,2026-07-30T03:39:10.000Z,503,5,1657.0,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,200,168,162.9,11
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,200,82,168.3,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,204,4,112.0,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,204,8,126.3,11
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,400,2,209.0,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,400,3,225.7,11
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,404,1,265.0,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,404,6,206.8,11
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,500,5,1779.2,10
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,500,8,2068.0,11
2026-07-30T03:39:05.000Z,2026-07-30T03:39:15.000Z,503,5,1657.0,10
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,200,86,157.6,11
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,200,172,163.4,12
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,204,4,140.5,11
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,204,10,140.2,12
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,400,1,259.0,11
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,400,2,267.5,12
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,404,5,195.2,11
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,500,3,2549.3,11
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,500,6,1823.2,12
2026-07-30T03:39:10.000Z,2026-07-30T03:39:20.000Z,503,2,1676.0,12
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,200,87,170.6,12
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,200,171,167.0,13
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,204,13,139.7,13
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,204,6,140.0,12
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,400,3,274.7,13
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,400,1,276.0,12
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,404,3,87.3,13
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,500,3,1097.0,12
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,500,5,1632.4,13
2026-07-30T03:39:15.000Z,2026-07-30T03:39:25.000Z,503,2,1676.0,12
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,200,1,291.0,12
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,200,171,170.0,14
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,200,85,164.8,13
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,204,11,140.8,14
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,204,7,139.4,13
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,400,2,274.0,13
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,404,7,156.6,14
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,404,3,87.3,13
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,500,4,1958.3,14
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,500,2,2435.5,13
2026-07-30T03:39:20.000Z,2026-07-30T03:39:30.000Z,503,3,1702.0,14
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,200,86,175.1,14
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,200,172,170.4,15
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,204,10,153.1,15
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,204,4,143.3,14
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,400,2,158.5,15
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,404,5,181.6,15
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,404,4,208.5,14
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,500,2,1481.0,14
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,500,4,1494.0,15
2026-07-30T03:39:25.000Z,2026-07-30T03:39:35.000Z,503,3,1702.0,14
